id_publisher;nome_publisher;appid
9758345679;Valve;10
9758345680;Valve;20
9758345681;Valve;30
9758345682;Valve;40
9758345683;Valve;50
9758345684;Valve;60
9758345685;Valve;70
9758345686;Valve;80
9758345687;Valve;130
9758345688;Valve;220
9758345689;Valve;240
9758345690;Valve;280
9758345691;Valve;300
9758345692;Valve;320
9758345693;Valve;340
9758345694;Valve;360
9758345695;Valve;380
9758345696;Valve;400
9758345697;Valve;420
9758345698;Valve;440
9758345699;Valve;500
9758345700;Valve;550
9758345701;Valve;570
9758345702;Valve;620
9758345703;Valve;630
9758345704;Valve;730
9758345705;Mark Healey;1002
9758345706;Tripwire Interactive;1200
9758345707;Tripwire Interactive;1250
9758345708;Ritual Entertainment;1300
9758345709;Introversion Software;1500
9758345710;Introversion Software;1510
9758345711;Introversion Software;1520
9758345712;Introversion Software;1530
9758345713;Strategy First;1600
9758345714;Strategy First;1610
9758345715;Strategy First;1630
9758345716;Strategy First;1640
9758345717;Strategy First;1670
9758345718;Strategy First;1690
9758345719;Arkane Studios;1700
9758345720;Valve;1840
9758345721;Topware Interactive_ACE;1900
9758345722;Topware Interactive;1930
9758345723;Ubisoft;2100
9758345724;id Software;2200
9758345725;Bethesda Softworks;2210
9758345726;Bethesda_Softworks;2270
9758345727;id Software;2280
9758345728;id Software;2290
9758345729;id Software;2300
9758345730;id Software;2310
9758345731;id Software;2320
9758345732;id Software;2330
9758345733;id Software;2340
9758345734;id Software;2350
9758345735;id Software;2360
9758345736;id Software;2370
9758345737;id Software;2390
9758345738;Blazing Griffin Ltd;2400
9758345739;Ubisoft;2450
9758345740;Frozenbyte;2500
9758345741;CINEMAX_ sro;2520
9758345742;Bohemia Interactive;2590
9758345743;Activision;2600
9758345744;Activision;2610
9758345745;Activision;2620
9758345746;Activision_Aspyr (Mac);2630
9758345747;Activision;2640
9758345748;THQ Nordic;2710
9758345749;Atari;2720
9758345750;Bohemia Interactive;2780
9758345751;Egosoft;2800
9758345752;Egosoft;2810
9758345753;Egosoft;2820
9758345754;Egosoft;2840
9758345755;Egosoft;2850
9758345756;Egosoft;2870
9758345757;Strategy First;2900
9758345758;Strategy First;2910
9758345759;Strategy First;2920
9758345760;Strategy First;2990
9758345761;Techland;3010
9758345762;Techland Publishing;3020
9758345763;Techland;3050
9758345764;1C Entertainment_1C_SoftClub;3130
9758345765;1C Entertainment;3170
9758345766;THQ Nordic;3230
9758345767;HandyGames;3260
9758345768;THQ Nordic;3270
9758345769;PopCap Games_ Inc;3330
9758345770;PopCap Games_ Inc;3410
9758345771;PopCap Games_ Inc;3480
9758345772;PopCap Games_ Inc;3483
9758345773;PopCap Games_ Inc;3490
9758345774;PopCap Games_ Inc;3500
9758345775;PopCap Games_ Inc;3510
9758345776;PopCap Games_ Inc;3520
9758345777;PopCap Games_ Inc;3530
9758345778;PopCap Games_ Inc;3540
9758345779;PopCap Games_ Inc;3560
9758345780;PopCap Games_ Inc;3570
9758345781;PopCap Games_ Inc;3580
9758345782;PopCap Games_ Inc;3590
9758345783;PopCap Games_ Inc;3600
9758345784;PopCap Games_ Inc;3610
9758345785;PopCap Games_ Inc;3620
9758345786;Rebellion;3700
9758345787;Rebellion;3710
9758345788;Rebellion;3720
9758345789;Rebellion;3730
9758345790;Majesco Entertainment;3800
9758345791;Majesco Entertainment;3810
9758345792;Majesco Entertainment;3820
9758345793;Double Fine Productions;3830
9758345794;2K;3900
9758345795;2K;3910
9758345796;2K;3920
9758345797;2K;3960
9758345798;2K;3980
9758345799;2K;3990
9758345800;Valve;4000
9758345801;Funkitron;4100
9758345802;SimBin;4230
